# nccl-tests version 2.19.7 nccl-headers=23102 nccl-library=23102
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   7139 on 1fde004aaa97 device  0 [0000:81:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  1 Group  0 Pid   7139 on 1fde004aaa97 device  1 [0000:82:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  2 Group  0 Pid   7139 on 1fde004aaa97 device  2 [0000:c1:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  3 Group  0 Pid   7139 on 1fde004aaa97 device  3 [0000:c2:00] NVIDIA RTX PRO 4500 Blackwell
NCCL version 2.31.2+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.37    0.00    0.00       0     0.36    0.00    0.00       0
           0             0     float     sum      -1     0.36    0.00    0.00       0     0.36    0.00    0.00       0
           0             0     float     sum      -1     0.36    0.00    0.00       0     0.36    0.00    0.00       0
          64             4     float     sum      -1    21.14    0.00    0.00       0    21.18    0.00    0.00       0
         128             8     float     sum      -1    21.27    0.01    0.00       0    21.01    0.01    0.00       0
         256            16     float     sum      -1    21.22    0.01    0.01       0    21.15    0.01    0.01       0
         512            32     float     sum      -1    21.20    0.02    0.02       0    21.18    0.02    0.02       0
        1024            64     float     sum      -1    21.20    0.05    0.04       0    20.98    0.05    0.04       0
        2048           128     float     sum      -1    21.06    0.10    0.07       0    20.70    0.10    0.07       0
        4096           256     float     sum      -1    20.58    0.20    0.15       0    20.50    0.20    0.15       0
        8192           512     float     sum      -1    20.59    0.40    0.30       0    20.53    0.40    0.30       0
       16384          1024     float     sum      -1    20.57    0.80    0.60       0    20.60    0.80    0.60       0
       32768          2048     float     sum      -1    21.21    1.54    1.16       0    21.19    1.55    1.16       0
       65536          4096     float     sum      -1    27.25    2.40    1.80       0    27.63    2.37    1.78       0
      131072          8192     float     sum      -1    47.62    2.75    2.06       0    48.14    2.72    2.04       0
      262144         16384     float     sum      -1    90.83    2.89    2.16       0    79.20    3.31    2.48       0
      524288         32768     float     sum      -1    86.63    6.05    4.54       0    87.88    5.97    4.47       0
     1048576         65536     float     sum      -1   167.96    6.24    4.68       0   178.52    5.87    4.41       0
     2097152        131072     float     sum      -1   323.86    6.48    4.86       0   328.80    6.38    4.78       0
     4194304        262144     float     sum      -1   630.11    6.66    4.99       0   640.27    6.55    4.91       0
     8388608        524288     float     sum      -1  1231.25    6.81    5.11       0  1262.75    6.64    4.98       0
    16777216       1048576     float     sum      -1  2472.77    6.78    5.09       0  2456.14    6.83    5.12       0
    33554432       2097152     float     sum      -1  4916.47    6.82    5.12       0  5289.60    6.34    4.76       0
    67108864       4194304     float     sum      -1  10882.2    6.17    4.63       0  10568.2    6.35    4.76       0
   134217728       8388608     float     sum      -1  22900.6    5.86    4.40       0  22227.1    6.04    4.53       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 2.06343 
#
# Collective test concluded: reduce_scatter_perf
#

