# nccl-tests version 2.19.7 nccl-headers=23102 nccl-library=23102
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   6998 on 1fde004aaa97 device  0 [0000:81:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  1 Group  0 Pid   6998 on 1fde004aaa97 device  1 [0000:82:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  2 Group  0 Pid   6998 on 1fde004aaa97 device  2 [0000:c1:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  3 Group  0 Pid   6998 on 1fde004aaa97 device  3 [0000:c2:00] NVIDIA RTX PRO 4500 Blackwell
NCCL version 2.31.2+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    21.46    0.00    0.00       0    21.39    0.00    0.00       0
          16             4     float     sum      -1    21.24    0.00    0.00       0    21.41    0.00    0.00       0
          32             8     float     sum      -1    21.47    0.00    0.00       0    21.44    0.00    0.00       0
          64            16     float     sum      -1    21.58    0.00    0.00       0    21.48    0.00    0.00       0
         128            32     float     sum      -1    21.47    0.01    0.01       0    21.36    0.01    0.01       0
         256            64     float     sum      -1    21.07    0.01    0.02       0    20.99    0.01    0.02       0
         512           128     float     sum      -1    21.07    0.02    0.04       0    21.06    0.02    0.04       0
        1024           256     float     sum      -1    21.28    0.05    0.07       0    20.91    0.05    0.07       0
        2048           512     float     sum      -1    20.97    0.10    0.15       0    21.05    0.10    0.15       0
        4096          1024     float     sum      -1    21.02    0.19    0.29       0    21.09    0.19    0.29       0
        8192          2048     float     sum      -1    21.07    0.39    0.58       0    20.97    0.39    0.59       0
       16384          4096     float     sum      -1    21.48    0.76    1.14       0    21.34    0.77    1.15       0
       32768          8192     float     sum      -1    23.95    1.37    2.05       0    23.90    1.37    2.06       0
       65536         16384     float     sum      -1    38.52    1.70    2.55       0    33.28    1.97    2.95       0
      131072         32768     float     sum      -1    59.21    2.21    3.32       0    60.14    2.18    3.27       0
      262144         65536     float     sum      -1   117.83    2.22    3.34       0   137.49    1.91    2.86       0
      524288        131072     float     sum      -1   143.16    3.66    5.49       0   144.68    3.62    5.44       0
     1048576        262144     float     sum      -1   319.56    3.28    4.92       0   288.94    3.63    5.44       0
     2097152        524288     float     sum      -1   568.60    3.69    5.53       0   576.42    3.64    5.46       0
     4194304       1048576     float     sum      -1  1123.97    3.73    5.60       0  1129.29    3.71    5.57       0
     8388608       2097152     float     sum      -1  2227.55    3.77    5.65       0  2231.51    3.76    5.64       0
    16777216       4194304     float     sum      -1  4483.77    3.74    5.61       0  4447.34    3.77    5.66       0
    33554432       8388608     float     sum      -1  8940.23    3.75    5.63       0  9605.85    3.49    5.24       0
    67108864      16777216     float     sum      -1  19247.5    3.49    5.23       0  18578.9    3.61    5.42       0
   134217728      33554432     float     sum      -1  38450.4    3.49    5.24       0  38371.1    3.50    5.25       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 2.5009 
#
# Collective test concluded: all_reduce_perf
#

