# nccl-tests version 2.19.7 nccl-headers=23102 nccl-library=23102
# Collective test starting: all_gather_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   6870 on 1fde004aaa97 device  0 [0000:81:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  1 Group  0 Pid   6870 on 1fde004aaa97 device  1 [0000:82:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  2 Group  0 Pid   6870 on 1fde004aaa97 device  2 [0000:c1:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  3 Group  0 Pid   6870 on 1fde004aaa97 device  3 [0000:c2:00] NVIDIA RTX PRO 4500 Blackwell
NCCL version 2.31.2+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.37    0.00    0.00       0     0.37    0.00    0.00       0
           0             0     float    none      -1     0.36    0.00    0.00       0     0.37    0.00    0.00       0
           0             0     float    none      -1     0.36    0.00    0.00       0     0.37    0.00    0.00       0
          64             4     float    none      -1    20.78    0.00    0.00       0    20.81    0.00    0.00       0
         128             8     float    none      -1    20.76    0.01    0.00       0    20.67    0.01    0.00       0
         256            16     float    none      -1    20.68    0.01    0.01       0    20.70    0.01    0.01       0
         512            32     float    none      -1    20.60    0.02    0.02       0    20.70    0.02    0.02       0
        1024            64     float    none      -1    20.85    0.05    0.04       0    20.66    0.05    0.04       0
        2048           128     float    none      -1    20.52    0.10    0.07       0    20.57    0.10    0.07       0
        4096           256     float    none      -1    20.44    0.20    0.15       0    20.45    0.20    0.15       0
        8192           512     float    none      -1    20.47    0.40    0.30       0    20.48    0.40    0.30       0
       16384          1024     float    none      -1    23.71    0.69    0.52       0    20.45    0.80    0.60       0
       32768          2048     float    none      -1    20.93    1.57    1.17       0    21.06    1.56    1.17       0
       65536          4096     float    none      -1    22.92    2.86    2.14       0    26.74    2.45    1.84       0
      131072          8192     float    none      -1    40.95    3.20    2.40       0    47.33    2.77    2.08       0
      262144         16384     float    none      -1    81.55    3.21    2.41       0    92.31    2.84    2.13       0
      524288         32768     float    none      -1    89.34    5.87    4.40       0    98.37    5.33    4.00       0
     1048576         65536     float    none      -1   166.69    6.29    4.72       0   169.63    6.18    4.64       0
     2097152        131072     float    none      -1   382.38    5.48    4.11       0   340.68    6.16    4.62       0
     4194304        262144     float    none      -1   711.18    5.90    4.42       0   685.60    6.12    4.59       0
     8388608        524288     float    none      -1  1394.36    6.02    4.51       0  1422.76    5.90    4.42       0
    16777216       1048576     float    none      -1  2782.09    6.03    4.52       0  2776.26    6.04    4.53       0
    33554432       2097152     float    none      -1  5668.63    5.92    4.44       0  6022.17    5.57    4.18       0
    67108864       4194304     float    none      -1  11678.0    5.75    4.31       0  11127.3    6.03    4.52       0
   134217728       8388608     float    none      -1  23477.7    5.72    4.29       0  23593.9    5.69    4.27       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.94288 
#
# Collective test concluded: all_gather_perf
#

