# nccl-tests version 2.19.7 nccl-headers=23102 nccl-library=23102
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   5759 on 1fde004aaa97 device  0 [0000:81:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  1 Group  0 Pid   5759 on 1fde004aaa97 device  1 [0000:82:00] NVIDIA RTX PRO 4500 Blackwell
NCCL version 2.31.2+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.24    0.00    0.00       0     0.23    0.00    0.00       0
           0             0     float     sum      -1     0.23    0.00    0.00       0     0.23    0.00    0.00       0
          32             4     float     sum      -1    11.01    0.00    0.00       0    11.16    0.00    0.00       0
          64             8     float     sum      -1    10.85    0.01    0.00       0    10.94    0.01    0.00       0
         128            16     float     sum      -1    10.90    0.01    0.01       0    10.86    0.01    0.01       0
         256            32     float     sum      -1    11.01    0.02    0.01       0    10.77    0.02    0.01       0
         512            64     float     sum      -1    11.02    0.05    0.02       0    10.83    0.05    0.02       0
        1024           128     float     sum      -1    10.84    0.09    0.05       0    10.70    0.10    0.05       0
        2048           256     float     sum      -1    10.57    0.19    0.10       0    10.60    0.19    0.10       0
        4096           512     float     sum      -1    10.67    0.38    0.19       0    10.62    0.39    0.19       0
        8192          1024     float     sum      -1    10.79    0.76    0.38       0    10.72    0.76    0.38       0
       16384          2048     float     sum      -1    10.73    1.53    0.76       0    10.86    1.51    0.75       0
       32768          4096     float     sum      -1    10.77    3.04    1.52       0    10.73    3.05    1.53       0
       65536          8192     float     sum      -1    10.91    6.01    3.00       0    10.80    6.07    3.03       0
      131072         16384     float     sum      -1    11.81   11.10    5.55       0    11.54   11.36    5.68       0
      262144         32768     float     sum      -1    18.99   13.80    6.90       0    18.69   14.02    7.01       0
      524288         65536     float     sum      -1    27.93   18.77    9.39       0    27.44   19.10    9.55       0
     1048576        131072     float     sum      -1    41.09   25.52   12.76       0    41.85   25.06   12.53       0
     2097152        262144     float     sum      -1    75.17   27.90   13.95       0    75.19   27.89   13.95       0
     4194304        524288     float     sum      -1   140.33   29.89   14.94       0   140.16   29.93   14.96       0
     8388608       1048576     float     sum      -1   273.15   30.71   15.36       0   273.55   30.67   15.33       0
    16777216       2097152     float     sum      -1   534.79   31.37   15.69       0   540.51   31.04   15.52       0
    33554432       4194304     float     sum      -1  1048.91   31.99   15.99       0  1058.41   31.70   15.85       0
    67108864       8388608     float     sum      -1  2005.72   33.46   16.73       0  2030.59   33.05   16.52       0
   134217728      16777216     float     sum      -1  3782.84   35.48   17.74       0  3794.95   35.37   17.68       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 6.03434 
#
# Collective test concluded: reduce_scatter_perf
#

