# nccl-tests version 2.19.7 nccl-headers=23102 nccl-library=23102
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   5811 on 1fde004aaa97 device  0 [0000:81:00] NVIDIA RTX PRO 4500 Blackwell
#  Rank  1 Group  0 Pid   5811 on 1fde004aaa97 device  1 [0000:82:00] NVIDIA RTX PRO 4500 Blackwell
NCCL version 2.31.2+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    11.36    0.00    0.00       0    11.06    0.00    0.00       0
          16             4     float     sum      -1    11.12    0.00    0.00       0    11.10    0.00    0.00       0
          32             8     float     sum      -1    11.21    0.00    0.00       0    11.12    0.00    0.00       0
          64            16     float     sum      -1    11.19    0.01    0.01       0    11.22    0.01    0.01       0
         128            32     float     sum      -1    11.08    0.01    0.01       0    11.11    0.01    0.01       0
         256            64     float     sum      -1    10.95    0.02    0.02       0    11.02    0.02    0.02       0
         512           128     float     sum      -1    10.90    0.05    0.05       0    10.97    0.05    0.05       0
        1024           256     float     sum      -1    11.07    0.09    0.09       0    10.92    0.09    0.09       0
        2048           512     float     sum      -1    11.10    0.18    0.18       0    10.95    0.19    0.19       0
        4096          1024     float     sum      -1    11.10    0.37    0.37       0    10.99    0.37    0.37       0
        8192          2048     float     sum      -1    11.05    0.74    0.74       0    10.92    0.75    0.75       0
       16384          4096     float     sum      -1    11.18    1.46    1.46       0    11.12    1.47    1.47       0
       32768          8192     float     sum      -1    11.14    2.94    2.94       0    11.20    2.93    2.93       0
       65536         16384     float     sum      -1    11.57    5.66    5.66       0    11.39    5.75    5.75       0
      131072         32768     float     sum      -1    17.76    7.38    7.38       0    17.79    7.37    7.37       0
      262144         65536     float     sum      -1    30.96    8.47    8.47       0    31.01    8.45    8.45       0
      524288        131072     float     sum      -1    39.27   13.35   13.35       0    39.18   13.38   13.38       0
     1048576        262144     float     sum      -1    63.65   16.48   16.48       0    63.68   16.47   16.47       0
     2097152        524288     float     sum      -1   116.68   17.97   17.97       0   116.75   17.96   17.96       0
     4194304       1048576     float     sum      -1   224.58   18.68   18.68       0   222.91   18.82   18.82       0
     8388608       2097152     float     sum      -1   445.46   18.83   18.83       0   439.64   19.08   19.08       0
    16777216       4194304     float     sum      -1   878.32   19.10   19.10       0   864.53   19.41   19.41       0
    33554432       8388608     float     sum      -1  1717.92   19.53   19.53       0  1692.68   19.82   19.82       0
    67108864      16777216     float     sum      -1  3383.87   19.83   19.83       0  3352.13   20.02   20.02       0
   134217728      33554432     float     sum      -1  6670.12   20.12   20.12       0  6659.33   20.15   20.15       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 7.67755 
#
# Collective test concluded: all_reduce_perf
#

