schema_version,experiment_id,phase,timestamp,value_kind,git_commit,provider,hostname,os,cpu_model,node_count,gpu_model,gpu_count,topology_summary,network,nvlink_present,p2p_enabled,transport,cuda_version,driver_version,nccl_version,compiler_version,benchmark_tool,config_label,collective,datatype,message_size_bytes,count_elements,placement,warmup_iterations,measured_iterations,repeat_index,latency_us,algorithmic_bandwidth_gbps,bus_bandwidth_gbps,wrong_count,correctness_ok,command,raw_output_path,notes
1,p6-ring-allreduce-20260828T164556Z-911ccf0,phase6,2026-08-28T17:02:01Z,measured,911ccf02f2c151a2d674be3a4cb684bad993bf35,unknown,17d8fecc5a6a,Ubuntu 24.04.3 LTS,AMD EPYC 7542 32-Core Processor,1,NVIDIA L4,4,NODE,none-single-node,False,False,host-staged,12.8,570.195.03,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,custom-ring-allreduce,v3-pipelined-sub4,all_reduce,float,32768,8192,in_place,5,20,0,4473.15,0.007325486513977846,0.01098822977096677,0,True,/root/repo/src/ring_allreduce/build/ring_allreduce -g 4 -w 5 -n 20 --allow-host-staged,results/raw/p6-ring-allreduce-20260828T164556Z-911ccf0/ring_allreduce.stdout.txt,max_abs_err=0.000000 bytes_moved_per_rank=49152 bytes_expected_per_rank=49152
1,p6-ring-allreduce-20260828T164556Z-911ccf0,phase6,2026-08-28T17:02:01Z,measured,911ccf02f2c151a2d674be3a4cb684bad993bf35,unknown,17d8fecc5a6a,Ubuntu 24.04.3 LTS,AMD EPYC 7542 32-Core Processor,1,NVIDIA L4,4,NODE,none-single-node,False,False,host-staged,12.8,570.195.03,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,custom-ring-allreduce,v3-pipelined-sub8,all_reduce,float,32768,8192,in_place,5,20,0,4512.822,0.007261088516232195,0.010891632774348292,0,True,/root/repo/src/ring_allreduce/build/ring_allreduce -g 4 -w 5 -n 20 --allow-host-staged,results/raw/p6-ring-allreduce-20260828T164556Z-911ccf0/ring_allreduce.stdout.txt,max_abs_err=0.000000 bytes_moved_per_rank=49152 bytes_expected_per_rank=49152
1,p6-ring-allreduce-20260828T164556Z-911ccf0,phase6,2026-08-28T17:02:01Z,measured,911ccf02f2c151a2d674be3a4cb684bad993bf35,unknown,17d8fecc5a6a,Ubuntu 24.04.3 LTS,AMD EPYC 7542 32-Core Processor,1,NVIDIA L4,4,NODE,none-single-node,False,False,host-staged,12.8,570.195.03,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,custom-ring-allreduce,v3-pipelined-sub16,all_reduce,float,32768,8192,in_place,5,20,0,4591.584,0.007136535017109566,0.010704802525664348,0,True,/root/repo/src/ring_allreduce/build/ring_allreduce -g 4 -w 5 -n 20 --allow-host-staged,results/raw/p6-ring-allreduce-20260828T164556Z-911ccf0/ring_allreduce.stdout.txt,max_abs_err=0.000000 bytes_moved_per_rank=49152 bytes_expected_per_rank=49152
1,p6-ring-allreduce-20260828T164556Z-911ccf0,phase6,2026-08-28T17:02:01Z,measured,911ccf02f2c151a2d674be3a4cb684bad993bf35,unknown,17d8fecc5a6a,Ubuntu 24.04.3 LTS,AMD EPYC 7542 32-Core Processor,1,NVIDIA L4,4,NODE,none-single-node,False,False,host-staged,12.8,570.195.03,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,nccl,nccl-reference,all_reduce,float,32768,8192,in_place,5,20,0,4458.532,0.007349504276295426,0.01102425641444314,0,True,/root/repo/src/ring_allreduce/build/ring_allreduce -g 4 -w 5 -n 20 --allow-host-staged,results/raw/p6-ring-allreduce-20260828T164556Z-911ccf0/ring_allreduce.stdout.txt,max_abs_err=0.000000 bytes_moved_per_rank=0 bytes_expected_per_rank=49152
1,p6-ring-allreduce-20260828T164556Z-911ccf0,phase6,2026-08-28T17:02:01Z,measured,911ccf02f2c151a2d674be3a4cb684bad993bf35,unknown,17d8fecc5a6a,Ubuntu 24.04.3 LTS,AMD EPYC 7542 32-Core Processor,1,NVIDIA L4,4,NODE,none-single-node,False,False,host-staged,12.8,570.195.03,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,custom-ring-allreduce,v1-naive,all_reduce,float,1048576,262144,in_place,5,20,0,13300.209,0.0788390618523363,0.11825859277850445,0,True,/root/repo/src/ring_allreduce/build/ring_allreduce -g 4 -w 5 -n 20 --allow-host-staged,results/raw/p6-ring-allreduce-20260828T164556Z-911ccf0/ring_allreduce.stdout.txt,max_abs_err=0.000000 bytes_moved_per_rank=1572864 bytes_expected_per_rank=1572864
1,p6-ring-allreduce-20260828T164556Z-911ccf0,phase6,2026-08-28T17:02:01Z,measured,911ccf02f2c151a2d674be3a4cb684bad993bf35,unknown,17d8fecc5a6a,Ubuntu 24.04.3 LTS,AMD EPYC 7542 32-Core Processor,1,NVIDIA L4,4,NODE,none-single-node,False,False,host-staged,12.8,570.195.03,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,custom-ring-allreduce,v2-async,all_reduce,float,1048576,262144,in_place,5,20,0,4444.451,0.2359292520043533,0.35389387800652994,0,True,/root/repo/src/ring_allreduce/build/ring_allreduce -g 4 -w 5 -n 20 --allow-host-staged,results/raw/p6-ring-allreduce-20260828T164556Z-911ccf0/ring_allreduce.stdout.txt,max_abs_err=0.000000 bytes_moved_per_rank=1572864 bytes_expected_per_rank=1572864
1,p6-ring-allreduce-20260828T164556Z-911ccf0,phase6,2026-08-28T17:02:01Z,measured,911ccf02f2c151a2d674be3a4cb684bad993bf35,unknown,17d8fecc5a6a,Ubuntu 24.04.3 LTS,AMD EPYC 7542 32-Core Processor,1,NVIDIA L4,4,NODE,none-single-node,False,False,host-staged,12.8,570.195.03,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,custom-ring-allreduce,v3-pipelined-sub2,all_reduce,float,1048576,262144,in_place,5,20,0,4463.431,0.23492600199263755,0.3523890029889563,0,True,/root/repo/src/ring_allreduce/build/ring_allreduce -g 4 -w 5 -n 20 --allow-host-staged,results/raw/p6-ring-allreduce-20260828T164556Z-911ccf0/ring_allreduce.stdout.txt,max_abs_err=0.000000 bytes_moved_per_rank=1572864 bytes_expected_per_rank=1572864
1,p6-ring-allreduce-20260828T164556Z-911ccf0,phase6,2026-08-28T17:02:01Z,measured,911ccf02f2c151a2d674be3a4cb684bad993bf35,unknown,17d8fecc5a6a,Ubuntu 24.04.3 LTS,AMD EPYC 7542 32-Core Processor,1,NVIDIA L4,4,NODE,none-single-node,False,False,host-staged,12.8,570.195.03,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,custom-ring-allreduce,v3-pipelined-sub4,all_reduce,float,1048576,262144,in_place,5,20,0,4472.581,0.23444539070393583,0.3516680860559037,0,True,/root/repo/src/ring_allreduce/build/ring_allreduce -g 4 -w 5 -n 20 --allow-host-staged,results/raw/p6-ring-allreduce-20260828T164556Z-911ccf0/ring_allreduce.stdout.txt,max_abs_err=0.000000 bytes_moved_per_rank=1572864 bytes_expected_per_rank=1572864
1,p6-ring-allreduce-20260828T164556Z-911ccf0,phase6,2026-08-28T17:02:01Z,measured,911ccf02f2c151a2d674be3a4cb684bad993bf35,unknown,17d8fecc5a6a,Ubuntu 24.04.3 LTS,AMD EPYC 7542 32-Core Processor,1,NVIDIA L4,4,NODE,none-single-node,False,False,host-staged,12.8,570.195.03,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,custom-ring-allreduce,v3-pipelined-sub8,all_reduce,float,1048576,262144,in_place,5,20,0,4507.068,0.23265147097847202,0.348977206467708,0,True,/root/repo/src/ring_allreduce/build/ring_allreduce -g 4 -w 5 -n 20 --allow-host-staged,results/raw/p6-ring-allreduce-20260828T164556Z-911ccf0/ring_allreduce.stdout.txt,max_abs_err=0.000000 bytes_moved_per_rank=1572864 bytes_expected_per_rank=1572864
1,p6-ring-allreduce-20260828T164556Z-911ccf0,phase6,2026-08-28T17:02:01Z,measured,911ccf02f2c151a2d674be3a4cb684bad993bf35,unknown,17d8fecc5a6a,Ubuntu 24.04.3 LTS,AMD EPYC 7542 32-Core Processor,1,NVIDIA L4,4,NODE,none-single-node,False,False,host-staged,12.8,570.195.03,2.25.1,gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0,custom-ring-allreduce,v3-pipelined-sub16,all_reduce,float,1048576,262144,in_place,5,20,0,5266.829,0.1990905723348907,0.29863585850233604,0,True,/root/repo/src/ring_allreduce/build/ring_allreduce -g 4 -w 5 -n 20 --allow-host-staged,results/raw/p6-ring-allreduce-20260828T164556Z-911ccf0/ring_allreduce.stdout.txt,max_abs_err=0.000000 bytes_moved_per_rank=1572864 bytes_expected_per_rank=1572864
