

Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
34.6,603095584,1,603095584.0,603095584.0,603095584,603095584,0.0,PushPop,NCCL:ncclCommInitAll
22.4,390273545,4,97568386.3,196373.0,175523,389705276,194757927.2,PushPop,NCCL:ncclCommDestroy
16.8,292528959,1,292528959.0,292528959.0,292528959,292528959,0.0,PushPop,sequential
10.7,186294413,16,11643400.8,56828.0,51347,185421457,46340815.8,PushPop,NCCL:ncclGroupEnd
10.1,176581343,1,176581343.0,176581343.0,176581343,176581343,0.0,PushPop,overlapped
5.4,93805277,1,93805277.0,93805277.0,93805277,93805277,0.0,PushPop,calibrate
0.0,144977,64,2265.3,1342.5,1062,17183,2443.0,PushPop,NCCL:ncclAllReduce
0.0,57196,16,3574.8,2925.5,430,11501,3229.9,PushPop,NCCL:ncclGroupStart

