# nccl-tests version 2.19.7 nccl-headers=22501 nccl-library=22501
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   2432 on 5c44f3e9a47e device  0 [0000:03:00] NVIDIA L4
#  Rank  1 Group  0 Pid   2432 on 5c44f3e9a47e device  1 [0000:c3:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.16    0.00    0.00       0     0.16    0.00    0.00       0
           0             0     float     sum      -1     0.15    0.00    0.00       0     0.16    0.00    0.00       0
          32             4     float     sum      -1     7.14    0.00    0.00       0     7.03    0.00    0.00       0
          64             8     float     sum      -1     7.47    0.01    0.00       0     7.06    0.01    0.00       0
         128            16     float     sum      -1     7.07    0.02    0.01       0     7.75    0.02    0.01       0
         256            32     float     sum      -1    10.27    0.02    0.01       0     9.95    0.03    0.01       0
         512            64     float     sum      -1     7.46    0.07    0.03       0     7.08    0.07    0.04       0
        1024           128     float     sum      -1     7.21    0.14    0.07       0     7.19    0.14    0.07       0
        2048           256     float     sum      -1     6.78    0.30    0.15       0     6.90    0.30    0.15       0
        4096           512     float     sum      -1     6.83    0.60    0.30       0     7.06    0.58    0.29       0
        8192          1024     float     sum      -1    10.73    0.76    0.38       0     7.08    1.16    0.58       0
       16384          2048     float     sum      -1     7.29    2.25    1.12       0     8.14    2.01    1.01       0
       32768          4096     float     sum      -1     9.19    3.57    1.78       0     9.10    3.60    1.80       0
       65536          8192     float     sum      -1    12.33    5.32    2.66       0    11.95    5.49    2.74       0
      131072         16384     float     sum      -1    17.91    7.32    3.66       0    17.81    7.36    3.68       0
      262144         32768     float     sum      -1    31.44    8.34    4.17       0    31.29    8.38    4.19       0
      524288         65536     float     sum      -1    44.91   11.67    5.84       0    44.68   11.74    5.87       0
     1048576        131072     float     sum      -1    69.61   15.06    7.53       0    69.76   15.03    7.52       0
     2097152        262144     float     sum      -1   117.96   17.78    8.89       0   117.90   17.79    8.89       0
     4194304        524288     float     sum      -1   226.16   18.55    9.27       0   225.46   18.60    9.30       0
     8388608       1048576     float     sum      -1   443.27   18.92    9.46       0   442.21   18.97    9.48       0
    16777216       2097152     float     sum      -1   874.73   19.18    9.59       0   874.70   19.18    9.59       0
    33554432       4194304     float     sum      -1  1740.03   19.28    9.64       0  1739.07   19.29    9.65       0
    67108864       8388608     float     sum      -1  3454.19   19.43    9.71       0  3454.16   19.43    9.71       0
   134217728      16777216     float     sum      -1  6878.01   19.51    9.76       0  6894.16   19.47    9.73       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 3.76751 
#
# Collective test concluded: reduce_scatter_perf
#

