# nccl-tests version 2.19.7 nccl-headers=22501 nccl-library=22501
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   2138 on 5c44f3e9a47e device  0 [0000:03:00] NVIDIA L4
#  Rank  1 Group  0 Pid   2138 on 5c44f3e9a47e device  1 [0000:c3:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.18    0.00    0.00       0     0.17    0.00    0.00       0
           0             0     float     sum      -1     0.16    0.00    0.00       0     0.16    0.00    0.00       0
          32             4     float     sum      -1     7.47    0.00    0.00       0     7.33    0.00    0.00       0
          64             8     float     sum      -1     7.30    0.01    0.00       0     7.03    0.01    0.00       0
         128            16     float     sum      -1     7.16    0.02    0.01       0     7.23    0.02    0.01       0
         256            32     float     sum      -1     7.19    0.04    0.02       0     7.27    0.04    0.02       0
         512            64     float     sum      -1     7.09    0.07    0.04       0     7.18    0.07    0.04       0
        1024           128     float     sum      -1     7.03    0.15    0.07       0     7.02    0.15    0.07       0
        2048           256     float     sum      -1     7.28    0.28    0.14       0     7.02    0.29    0.15       0
        4096           512     float     sum      -1     7.01    0.58    0.29       0     6.78    0.60    0.30       0
        8192          1024     float     sum      -1     7.06    1.16    0.58       0     7.19    1.14    0.57       0
       16384          2048     float     sum      -1     7.70    2.13    1.06       0     7.22    2.27    1.14       0
       32768          4096     float     sum      -1     9.09    3.60    1.80       0     9.07    3.61    1.81       0
       65536          8192     float     sum      -1    12.22    5.36    2.68       0    12.04    5.44    2.72       0
      131072         16384     float     sum      -1    17.85    7.34    3.67       0    17.75    7.38    3.69       0
      262144         32768     float     sum      -1    31.63    8.29    4.14       0    31.23    8.40    4.20       0
      524288         65536     float     sum      -1    44.94   11.67    5.83       0    44.65   11.74    5.87       0
     1048576        131072     float     sum      -1    69.60   15.07    7.53       0    69.71   15.04    7.52       0
     2097152        262144     float     sum      -1   118.17   17.75    8.87       0   118.07   17.76    8.88       0
     4194304        524288     float     sum      -1   225.67   18.59    9.29       0   225.28   18.62    9.31       0
     8388608       1048576     float     sum      -1   442.68   18.95    9.47       0   443.08   18.93    9.47       0
    16777216       2097152     float     sum      -1   875.65   19.16    9.58       0   874.70   19.18    9.59       0
    33554432       4194304     float     sum      -1  1741.45   19.27    9.63       0  1734.31   19.35    9.67       0
    67108864       8388608     float     sum      -1  3455.61   19.42    9.71       0  3461.33   19.39    9.69       0
   134217728      16777216     float     sum      -1  6838.63   19.63    9.81       0  6892.96   19.47    9.74       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 3.77434 
#
# Collective test concluded: reduce_scatter_perf
#

