# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   3140 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   3140 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   3140 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   3140 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    30.00    0.00    0.00       0    30.70    0.00    0.00       0
          64            16     float     sum      -1    30.22    0.00    0.00       0    31.25    0.00    0.00       0
         512           128     float     sum      -1    30.57    0.02    0.03       0    26.51    0.02    0.03       0
        4096          1024     float     sum      -1    23.85    0.17    0.26       0    23.28    0.18    0.26       0
       32768          8192     float     sum      -1    37.93    0.86    1.30       0    38.88    0.84    1.26       0
      262144         65536     float     sum      -1   195.43    1.34    2.01       0   181.86    1.44    2.16       0
     2097152        524288     float     sum      -1  1350.15    1.55    2.33       0  1353.23    1.55    2.32       0
    16777216       4194304     float     sum      -1  10749.2    1.56    2.34       0  10762.5    1.56    2.34       0
   134217728      33554432     float     sum      -1  86309.6    1.56    2.33       0  86203.6    1.56    2.34       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.18439 
#
# Collective test concluded: all_reduce_perf
#

