# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   4977 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   4977 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   4977 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   4977 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    29.74    0.00    0.00       0    30.33    0.00    0.00       0
          64            16     float     sum      -1    30.85    0.00    0.00       0    30.61    0.00    0.00       0
         512           128     float     sum      -1    30.83    0.02    0.02       0    30.35    0.02    0.03       0
        4096          1024     float     sum      -1    29.09    0.14    0.21       0    26.86    0.15    0.23       0
       32768          8192     float     sum      -1    44.79    0.73    1.10       0    44.56    0.74    1.10       0
      262144         65536     float     sum      -1   144.14    1.82    2.73       0   126.17    2.08    3.12       0
     2097152        524288     float     sum      -1   909.13    2.31    3.46       0   909.35    2.31    3.46       0
    16777216       4194304     float     sum      -1  9251.53    1.81    2.72       0  9213.57    1.82    2.73       0
   134217728      33554432     float     sum      -1  73102.9    1.84    2.75       0  73170.6    1.83    2.75       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.46771 
#
# Collective test concluded: all_reduce_perf
#

