# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   4561 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   4561 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   4561 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   4561 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    42.50    0.00    0.00       0    42.23    0.00    0.00       0
          64            16     float     sum      -1    43.18    0.00    0.00       0    30.24    0.00    0.00       0
         512           128     float     sum      -1    30.26    0.02    0.03       0    30.24    0.02    0.03       0
        4096          1024     float     sum      -1    32.45    0.13    0.19       0    30.25    0.14    0.20       0
       32768          8192     float     sum      -1    48.49    0.68    1.01       0    48.36    0.68    1.02       0
      262144         65536     float     sum      -1   250.91    1.04    1.57       0   236.72    1.11    1.66       0
     2097152        524288     float     sum      -1  1703.86    1.23    1.85       0  1711.64    1.23    1.84       0
    16777216       4194304     float     sum      -1  13867.6    1.21    1.81       0  13871.3    1.21    1.81       0
   134217728      33554432     float     sum      -1   110194    1.22    1.83       0   110114    1.22    1.83       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 0.926435 
#
# Collective test concluded: all_reduce_perf
#

