# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   4846 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   4846 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   4846 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   4846 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    43.24    0.00    0.00       0    30.17    0.00    0.00       0
          64            16     float     sum      -1    29.93    0.00    0.00       0    29.89    0.00    0.00       0
         512           128     float     sum      -1    30.69    0.02    0.03       0    30.91    0.02    0.02       0
        4096          1024     float     sum      -1    29.00    0.14    0.21       0    26.82    0.15    0.23       0
       32768          8192     float     sum      -1    47.04    0.70    1.04       0    43.80    0.75    1.12       0
      262144         65536     float     sum      -1   145.20    1.81    2.71       0   132.25    1.98    2.97       0
     2097152        524288     float     sum      -1   925.14    2.27    3.40       0   914.95    2.29    3.44       0
    16777216       4194304     float     sum      -1  9011.22    1.86    2.79       0  9320.81    1.80    2.70       0
   134217728      33554432     float     sum      -1  74432.6    1.80    2.70       0  75072.8    1.79    2.68       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.448 
#
# Collective test concluded: all_reduce_perf
#

