# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   3541 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   3541 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   3541 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   3541 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    33.44    0.00    0.00       0    31.21    0.00    0.00       0
          64            16     float     sum      -1    33.47    0.00    0.00       0    31.92    0.00    0.00       0
         512           128     float     sum      -1    34.12    0.02    0.02       0    31.87    0.02    0.02       0
        4096          1024     float     sum      -1    32.44    0.13    0.19       0    31.89    0.13    0.19       0
       32768          8192     float     sum      -1    42.35    0.77    1.16       0    41.69    0.79    1.18       0
      262144         65536     float     sum      -1   220.42    1.19    1.78       0   209.00    1.25    1.88       0
     2097152        524288     float     sum      -1  1378.51    1.52    2.28       0  1346.24    1.56    2.34       0
    16777216       4194304     float     sum      -1  10583.3    1.59    2.38       0  10645.4    1.58    2.36       0
   134217728      33554432     float     sum      -1  84569.3    1.59    2.38       0  84504.2    1.59    2.38       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.14243 
#
# Collective test concluded: all_reduce_perf
#

