# nccl-tests version 2.20.0 (b4d5bee) nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 8(factor) warmup iters: 20 iters: 50 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   2739 on cec425f13d09 device  0 [0000:61:00] NVIDIA L4
#  Rank  1 Group  0 Pid   2739 on cec425f13d09 device  1 [0000:81:00] NVIDIA L4
#  Rank  2 Group  0 Pid   2739 on cec425f13d09 device  2 [0000:a1:00] NVIDIA L4
#  Rank  3 Group  0 Pid   2739 on cec425f13d09 device  3 [0000:e1:00] NVIDIA L4
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)        
           8             2     float     sum      -1    45.26    0.00    0.00       0    38.01    0.00    0.00       0
          64            16     float     sum      -1    44.09    0.00    0.00       0    43.76    0.00    0.00       0
         512           128     float     sum      -1    44.07    0.01    0.02       0    43.96    0.01    0.02       0
        4096          1024     float     sum      -1    43.98    0.09    0.14       0    43.82    0.09    0.14       0
       32768          8192     float     sum      -1    64.48    0.51    0.76       0    64.08    0.51    0.77       0
      262144         65536     float     sum      -1   193.85    1.35    2.03       0   179.07    1.46    2.20       0
     2097152        524288     float     sum      -1  1465.55    1.43    2.15       0  1466.64    1.43    2.14       0
    16777216       4194304     float     sum      -1  11387.3    1.47    2.21       0  11641.1    1.44    2.16       0
   134217728      33554432     float     sum      -1   101049    1.33    1.99       0   101073    1.33    1.99       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.04004 
#
# Collective test concluded: all_reduce_perf
#

